Epoch  Phase                  train_loss  train_acc   val_loss   val_acc   val_f1    val_auc   test_loss  test_acc  test_f1   test_auc  lr
-----  --------------------  ----------  ---------  ---------  --------  --------  --------  ---------  --------  --------  --------  ----------
    1  feature_extraction        0.2627     0.8303     0.3229    0.8750    0.8889    1.0000     0.4241    0.8221    0.8731    0.9280  0.00100000
    2  feature_extraction        0.1900     0.9020     0.2030    0.7500    0.6667    1.0000     0.3628    0.8333    0.8591    0.9282  0.00100000
    3  feature_extraction        0.1622     0.9141     0.1609    0.9375    0.9333    1.0000     0.3431    0.8462    0.8782    0.9244  0.00100000
    4  feature_extraction        0.1675     0.9101     0.1573    0.8750    0.8571    1.0000     0.3434    0.8510    0.8787    0.9268  0.00100000
    5  feature_extraction        0.1569     0.9168     0.1403    0.8750    0.8571    1.0000     0.3417    0.8590    0.8869    0.9264  0.00100000
    6  feature_extraction        0.1477     0.9178     0.1514    0.9375    0.9333    1.0000     0.3513    0.8558    0.8910    0.9270  0.00100000
    7  feature_extraction        0.1507     0.9212     0.1527    1.0000    1.0000    1.0000     0.4255    0.8397    0.8824    0.9242  0.00100000
    8  feature_extraction        0.1421     0.9262     0.1340    0.8750    0.8571    1.0000     0.3403    0.8526    0.8856    0.9245  0.00100000
    9  feature_extraction        0.1510     0.9199     0.1403    0.9375    0.9333    1.0000     0.3708    0.8510    0.8853    0.9170  0.00100000
   10  feature_extraction        0.1456     0.9216     0.0985    1.0000    1.0000    1.0000     0.4053    0.8462    0.8838    0.9188  0.00050000
   11  fine_tuning               0.1075     0.9517     0.1454    0.9375    0.9412    1.0000     0.4766    0.8590    0.8977    0.9436  0.00010000
   12  fine_tuning               0.0497     0.9735     0.0307    1.0000    1.0000    1.0000     0.5371    0.8782    0.9108    0.9682  0.00010000
   13  fine_tuning               0.0470     0.9776     0.0887    1.0000    1.0000    1.0000     0.7954    0.8221    0.8751    0.9465  0.00010000
   14  fine_tuning               0.0383     0.9826     0.0649    1.0000    1.0000    1.0000     0.6703    0.8510    0.8932    0.9732  0.00010000
   15  fine_tuning               0.0342     0.9841     0.2431    0.9375    0.9412    1.0000     0.9538    0.8189    0.8732    0.9637  0.00010000
   16  fine_tuning               0.0289     0.9866     0.4019    0.9375    0.9412    1.0000     1.3239    0.7821    0.8515    0.9529  0.00005000
   17  fine_tuning               0.0227     0.9893     0.1631    0.9375    0.9412    1.0000     0.7710    0.8413    0.8869    0.9710  0.00005000
