,count,unique,top,freq,mean,min,25%,50%,75%,max,std
loan_amnt,1345350.0,,,,14419.969952057085,500.0,8000.0,12000.0,20000.0,40000.0,8717.09842566947
int_rate,1345350.0,,,,13.239706463002193,5.31,9.75,12.74,15.99,30.99,4.768781943085036
installment,1345350.0,,,,438.07555861300034,4.93,248.48,375.43,580.73,1719.83,261.5145029677408
grade,1345350,7,B,392748,,,,,,,
sub_grade,1345350,35,C1,85496,,,,,,,
emp_length,1266834,11,10+ years,442209,,,,,,,
home_ownership,1345350,6,MORTGAGE,665596,,,,,,,
annual_inc,1345350.0,,,,76247.57484353514,0.0,45780.0,65000.0,90000.0,10999200.0,69924.8535876881
verification_status,1345350,3,Source Verified,521289,,,,,,,
purpose,1345350,14,debt_consolidation,780342,,,,,,,
dti,1344976.0,,,,18.282636597232962,-1.0,11.79,17.61,24.06,999.0,11.160414137646951
delinq_2yrs,1345350.0,,,,0.31779165272977294,0.0,0.0,0.0,0.0,39.0,0.8779830768095094
fico_range_low,1345350.0,,,,696.1852529081651,625.0,670.0,690.0,710.0,845.0,31.85279890871479
fico_range_high,1345350.0,,,,700.1853911621511,629.0,674.0,694.0,714.0,850.0,31.853446988489175
inq_last_6mths,1345349.0,,,,0.6550761177954568,0.0,0.0,0.0,1.0,8.0,0.9377690253866628
mths_since_last_delinq,666589.0,,,,34.312091858701535,0.0,16.0,31.0,50.0,226.0,21.919217044957122
open_acc,1345350.0,,,,11.593512468874271,0.0,8.0,11.0,14.0,90.0,5.4738481930757565
pub_rec,1345350.0,,,,0.21527780874865277,0.0,0.0,0.0,0.0,86.0,0.601864487124276
revol_bal,1345350.0,,,,16247.957171739696,0.0,5943.0,11134.0,19755.0,2904836.0,22327.914216401823
revol_util,1344493.0,,,,51.809777507209034,0.0,33.4,52.2,70.7,892.3,24.521101869460914
total_acc,1345350.0,,,,24.980745530902738,2.0,16.0,23.0,32.0,176.0,11.99851495365546
initial_list_status,1345350,2,w,784041,,,,,,,
application_type,1345350,2,Individual,1319544,,,,,,,
mort_acc,1298069.0,,,,1.6707686571360998,0.0,0.0,1.0,3.0,51.0,2.000440807979089
pub_rec_bankruptcies,1344653.0,,,,0.13444435107049924,0.0,0.0,0.0,0.0,12.0,0.37792794542119645
issue_d,1345350,,,,2015-06-06 18:17:44.691270656,2007-06-01 00:00:00,2014-07-01 00:00:00,2015-08-01 00:00:00,2016-07-01 00:00:00,2018-12-01 00:00:00,
earliest_cr_line,1345350,,,,1999-03-04 01:53:33.356227456,1934-04-01 00:00:00,1995-04-01 00:00:00,2000-08-01 00:00:00,2004-06-01 00:00:00,2015-10-01 00:00:00,
issue_year,1345350.0,,,,2014.9718192291969,2007.0,2014.0,2015.0,2016.0,2018.0,1.6396980993308023
loan_status,1345350,3,Fully Paid,1076751,,,,,,,
default_flag,1345350.0,,,,0.19964990522912254,0.0,0.0,0.0,0.0,1.0,0.3997373379397358
