feature,dtype
loan_amnt,float64
int_rate,float64
installment,float64
annual_inc,float64
dti,float64
delinq_2yrs,float64
inq_last_6mths,float64
mths_since_last_delinq,float64
open_acc,float64
pub_rec,float64
revol_bal,float64
total_acc,float64
initial_list_status,object
application_type,object
mort_acc,float64
pub_rec_bankruptcies,float64
emp_length_num,float64
credit_history_months,float64
loan_to_income,float64
fico_midpoint,float64
grade_ord,int64
high_dti_flag,int64
revol_util_clean,float64
home_ownership_MORTGAGE,int64
home_ownership_NONE,int64
home_ownership_OTHER,int64
home_ownership_OWN,int64
home_ownership_RENT,int64
purpose_credit_card,int64
purpose_debt_consolidation,int64
purpose_educational,int64
purpose_home_improvement,int64
purpose_house,int64
purpose_major_purchase,int64
purpose_medical,int64
purpose_moving,int64
purpose_other,int64
purpose_renewable_energy,int64
purpose_small_business,int64
purpose_vacation,int64
purpose_wedding,int64
verification_status_Source Verified,int64
verification_status_Verified,int64
