decile,defaults,total,default_rate,lift,cumulative_defaults,cumulative_lift
1,25360,51875,0.48886746987951807,2.1806360273028136,25360,2.1806360273028136
2,19055,51874,0.3673323823109843,1.6385181592461346,44415,2.999908228757876
3,16000,51874,0.3084396807649304,1.3758221226942091,60415,3.731606899539964
4,13661,51875,0.26334457831325303,1.1746714814268036,74076,4.3911089520276345
5,11614,51874,0.22388865327524385,0.998674883310659,85690,4.986560041274346
6,9839,51874,0.1896711261903844,0.8460446165742703,95529,5.524535239531312
7,8003,51875,0.15427469879518071,0.6881557620861363,103532,6.007096861539636
8,6282,51874,0.1211011296603308,0.5401821609228139,109814,6.43655454444226
9,4332,51874,0.08351004356710491,0.37250383971945716,114146,6.811966849510472
10,2149,51875,0.041426506024096386,0.18478654663540012,116295,7.1307622855668775
