,missing_count,missing_pct
member_id,1345350,100.0
next_pymnt_d,1345310,100.0
orig_projected_additional_accrued_interest,1341589,99.72
hardship_amount,1339594,99.57
hardship_last_payment_amount,1339594,99.57
hardship_length,1339594,99.57
hardship_status,1339594,99.57
hardship_reason,1339594,99.57
deferral_term,1339594,99.57
hardship_start_date,1339594,99.57
hardship_end_date,1339594,99.57
hardship_type,1339594,99.57
hardship_loan_status,1339594,99.57
hardship_payoff_balance_amount,1339594,99.57
hardship_dpd,1339594,99.57
payment_plan_start_date,1339594,99.57
sec_app_mths_since_last_major_derog,1338701,99.51
sec_app_revol_util,1327042,98.64
sec_app_collections_12_mths_ex_med,1326714,98.61
sec_app_chargeoff_within_12_mths,1326714,98.61
sec_app_fico_range_low,1326714,98.61
sec_app_open_acc,1326714,98.61
sec_app_num_rev_accts,1326714,98.61
revol_bal_joint,1326715,98.61
sec_app_open_act_il,1326714,98.61
sec_app_fico_range_high,1326714,98.61
sec_app_earliest_cr_line,1326714,98.61
sec_app_inq_last_6mths,1326714,98.61
sec_app_mort_acc,1326714,98.61
verification_status_joint,1319749,98.1
dti_joint,1319547,98.08
annual_inc_joint,1319544,98.08
settlement_percentage,1312068,97.53
settlement_status,1312068,97.53
settlement_date,1312068,97.53
debt_settlement_flag_date,1312068,97.53
settlement_amount,1312068,97.53
settlement_term,1312068,97.53
desc,1221820,90.82
mths_since_last_record,1116786,83.01
mths_since_recent_bc_dlq,1026321,76.29
mths_since_last_major_derog,991593,73.71
mths_since_recent_revol_delinq,895374,66.55
il_util,880303,65.43
mths_since_rcnt_il,821931,61.09
open_rv_12m,807714,60.04
total_bal_il,807714,60.04
inq_last_12m,807715,60.04
max_bal_bc,807714,60.04
all_util,807767,60.04
inq_fi,807714,60.04
open_acc_6m,807715,60.04
open_rv_24m,807714,60.04
open_act_il,807714,60.04
open_il_12m,807714,60.04
total_cu_tl,807715,60.04
open_il_24m,807714,60.04
mths_since_last_delinq,678761,50.45
mths_since_recent_inq,174073,12.94
num_tl_120dpd_2m,117403,8.73
mo_sin_old_il_acct,105576,7.85
emp_title,85791,6.38
emp_length,78516,5.84
pct_tl_nvr_dlq,67681,5.03
num_op_rev_tl,67527,5.02
num_tl_90g_dpd_24m,67527,5.02
num_il_tl,67527,5.02
mo_sin_rcnt_rev_tl_op,67528,5.02
num_tl_30dpd,67527,5.02
tot_hi_cred_lim,67527,5.02
total_il_high_credit_limit,67527,5.02
num_tl_op_past_12m,67527,5.02
num_accts_ever_120_pd,67527,5.02
num_bc_tl,67527,5.02
num_actv_rev_tl,67527,5.02
num_actv_bc_tl,67527,5.02
mo_sin_old_rev_tl_op,67528,5.02
mo_sin_rcnt_tl,67527,5.02
num_rev_accts,67528,5.02
num_rev_tl_bal_gt_0,67527,5.02
total_rev_hi_lim,67527,5.02
avg_cur_bal,67549,5.02
tot_coll_amt,67527,5.02
tot_cur_bal,67527,5.02
bc_util,61914,4.6
percent_bc_gt_75,61557,4.58
bc_open_to_buy,61145,4.54
mths_since_recent_bc,60223,4.48
num_sats,55841,4.15
num_bc_sats,55841,4.15
acc_open_past_24mths,47281,3.51
mort_acc,47281,3.51
total_bc_limit,47281,3.51
total_bal_ex_mort,47281,3.51
title,16660,1.24
last_pymnt_d,2313,0.17
revol_util,857,0.06
pub_rec_bankruptcies,697,0.05
dti,374,0.03
purpose,0,0.0
addr_state,0,0.0
zip_code,1,0.0
int_rate,0,0.0
installment,0,0.0
funded_amnt,0,0.0
loan_amnt,0,0.0
id,0,0.0
url,0,0.0
loan_status,0,0.0
pymnt_plan,0,0.0
verification_status,0,0.0
issue_d,0,0.0
grade,0,0.0
sub_grade,0,0.0
annual_inc,0,0.0
home_ownership,0,0.0
funded_amnt_inv,0,0.0
term,0,0.0
policy_code,0,0.0
last_pymnt_amnt,0,0.0
chargeoff_within_12_mths,56,0.0
delinq_amnt,0,0.0
acc_now_delinq,0,0.0
application_type,0,0.0
total_rec_int,0,0.0
total_rec_late_fee,0,0.0
total_rec_prncp,0,0.0
fico_range_low,0,0.0
fico_range_high,0,0.0
open_acc,0,0.0
pub_rec,0,0.0
revol_bal,0,0.0
total_acc,0,0.0
earliest_cr_line,0,0.0
inq_last_6mths,1,0.0
delinq_2yrs,0,0.0
out_prncp_inv,0,0.0
out_prncp,0,0.0
initial_list_status,0,0.0
total_pymnt,0,0.0
last_fico_range_high,0,0.0
last_fico_range_low,0,0.0
collections_12_mths_ex_med,56,0.0
total_pymnt_inv,0,0.0
collection_recovery_fee,0,0.0
recoveries,0,0.0
last_credit_pull_d,55,0.0
tax_liens,39,0.0
hardship_flag,0,0.0
disbursement_method,0,0.0
debt_settlement_flag,0,0.0
default_flag,0,0.0
